index,sname,pname,price
27,쿠팡,"스미후루 스위트마운틴 바나나, 1.5kg내외, 1개","6,120"
28,쿠팡,"곰곰 홍로 햇사과 1봉 (5~7입), 1.5kg","9,900"
29,쿠팡,"[쿠팡 직수입] 그린팜 아보카도 (냉동), 2kg, 1개","15,980"
30,쿠팡,"프레쉬팜 골드 파인애플 스틱, 1kg, 1개","9,810"
 
네이버쇼핑/과일
1,네이버쇼핑,[KF365] DOLE 실속 바나나 1.1kg(필리핀),"2,980원"
2,네이버쇼핑,백향과,"10,000원"
3,네이버쇼핑,체리나무,"6,000원"
4,네이버쇼핑,"문경사과 대박농원 감홍사과 3kg, 5kg, 10kg","48,900원"
5,네이버쇼핑,경남 진영 부유 단감 태추 햇단감 5kg 10kg,"13,900원"
6,네이버쇼핑,진영 단감 5kg 10kg 시골농원,"20,000원"
7,네이버쇼핑,문경사과 찬미네농원 햇 감홍 사과 5kg,"62,900원"
8,네이버쇼핑,제주 감귤 4.5kg 9kg (박스포함 5kg 10kg) 극조생 노지 밀감,"11,900원"
9,네이버쇼핑,경북 문경 청송 꿀 햇사과 감홍 홍옥 황금 시나노골드 양광 부사 5kg 10kg 선물세트,"19,900원"
10,네이버쇼핑,경북 청송사과 홍로 부사 흠집 못난이 꿀 사과 5kg 10kg 홍옥 시나노골드 감홍,"15,900원"
11,네이버쇼핑,선물용 망고포도 청포도 김천 샤인머스켓 특등품,"21,900원"
12,네이버쇼핑,정담아농원 청정 먹거리 경북 청송 꿀 사과 부사 흠과 5kg 10kg 감홍,"15,900원"
13,네이버쇼핑,경북문경사과 껍질째먹는 감홍사과 5kg 10kg생즙2봉증정,"55,000원"
14,네이버쇼핑,달콤아삭 창원단감 10KG 5KG 부유단감,"42,900원"
15,네이버쇼핑,별빛촌농장 영천 새콤달콤 선물용 햇 홍옥 사과 5kg,"39,500원"
16,네이버쇼핑,"수출용 샤인머스켓 망고포도 선물세트 2kg, 4kg","39,000원"
17,네이버쇼핑,경북 청송 명품 햇 시나노골드 황금사과 홍로 부사 꿀 사과 5kg 10kg,"22,900원"
18,네이버쇼핑,제주 감귤 황금향 1kg 3kg 5kg 10kg 노지 하우스 가정용 과일 선물세트,"12,900원"
19,네이버쇼핑,시골청년 껍질째먹는 꿀사과 5kg 10kg,"17,900원"
20,네이버쇼핑,[다네] 단감의제왕 태추단감 진영 부유 특품 못난이 5kg 10kg,"35,000원"
21,네이버쇼핑,씨 없는 감 청도반시 5kg (51-55과내외) 홍시용/첫출하,"8,610원"
22,네이버쇼핑,광양 부유단감 대봉감 대봉시 홍시 곶감용 감말랭이 대봉 5kg/10kg,"17,900원"
23,네이버쇼핑,경산 농장직송 저탄소 GAP우수농산물 고당도 샤인머스켓 망고포도 1.5kg 2kg 4kg,"23,900원"
24,네이버쇼핑,털보네 껍질째먹는 못난이 고당도 꿀사과,"15,900원"
25,네이버쇼핑,[KF365] 아보카도 1개,"2,650원"
26,네이버쇼핑,파인애플세이지,"2,000원"
27,네이버쇼핑,청송꿀사과 5kg 10kg 햇사과 황금사과 시나노골드 시나노스위트,"23,800원"
28,네이버쇼핑,청도반시 제철 고당도 씨없는 감 연시 홍시 5kg,"15,900원"
29,네이버쇼핑,제주 감귤 황금향 3kg 5kg 10kg 노지 하우스 선물용 가정용,"25,500원"
30,네이버쇼핑,문경사과 찬미네농원 햇 홍옥 사과 5kg,"44,900원"
 
위메프/과일
1,위메프,맛신선 보증/ 한경농협 극조생 제주 햇감귤 9kg 중대과 외 귤모...,"42,900"
2,위메프,100g당 445원/ 과즙가득 신선 대추방울 토마토 2kg/5kg...,"19,900"
3,위메프,[09시 이전 당일출고] 고당도 대추방울 토마토 2kg  4과 방...,"19,900"
4,위메프,(농장직송) (첫~수확 초특가) 2021년 빨간 홍로햇사과 7kg...,"8,410"
5,위메프,(농장직송) 2021년 달콤한 빨간 홍로햇사과 7kg / 4kg ...,"9,900"
6,위메프,(농장직송) 2021년 첫수확~! 달콤한 빨간 홍로 햇사과 7kg...,"8,410"
7,위메프,(농장직송) 싱싱하고 달콤한 빨간 홍로 햇사과 7kg / 4kg ...,"9,900"
8,위메프,(오늘딱하루만 초초초특가) 새콤달콤 빨간햇사과 7kg(30-49과...,"9,900"
9,위메프,"제주도 노지감귤 5kg,10kg/ 대과,로얄","15,800"
10,위메프,"후기갑 제주도 노지감귤 5kg,10kg/ 대과,로얄","15,800"
11,위메프,귤사랑 고당도 제주 감귤 4.5kg / 2개 구매시 10kg 발송,"7,500"
12,위메프,익혀먹는 홍시용 청도반시5kg 중과 41-45과,"11,900"
13,위메프,보은 황토 건대추 모음,"12,900"
14,위메프,21년 수확 경북 빨간 햇사과 7kg 특대과/대과/중과/중소랜덤과...,"8,900"
15,위메프,(현대홈쇼핑)[참좋은] 세척사과(홍로) 9kg ( 3kg(12∼1...,"45,900"
16,위메프,너트리 건자두 1kg+1kg 외 건과일 모음,"18,900"
17,위메프,100g당 813원/ 제스프리 썬골드키위 (개당140g내외 16개...,"17,900"
18,위메프,21년 수확! 경북 햇사과 10kg 특대과/중과/소과 모음전,"15,900"
19,위메프,달고맛있는 햇 단감(가정용/흠과)10kg 랜덤사이즈,"21,000"
20,위메프,진짜 성주 꿀 참외 못난이 11kg  포장재무게 포함,"19,900"
21,위메프,경북 안동 빨간 햇사과 10kg 소과,"15,900"
22,위메프,문경세척사과 10-11입 박스,"19,000"
23,위메프,[최상품] 진영 단감 밀양 부유 햇 단감 10kg,"35,000"
24,위메프,최저가판매 무조건 당일발송 산지직송 당도보장!,"13,900"
25,위메프,최저가판매 무조건당일발송 산지직송 당도보장 10kg중대과(L-2L...,"12,900"
26,위메프,AK몰_경북 부사 사과 흠과 주스용 9kg (랜덤과),"9,780"
27,위메프,귤사랑 고당도 제주 감귤 4.5kg 로얄과(S-M) 2개 구매시 ...,"9,900"
28,위메프,AK몰_경북 아오리사과 흠과 세척사과 5kg 25-28과 ,"12,900"
29,위메프,경북 햇 빨간사과 7kg(중대과/실중량 6kg내외),"10,900"
30,위메프,맛군 용성농협 경산 루비에스사과 1.6kg 소/중/대과,"9,900"
 
홈플러스/과일
1,홈플러스,온라인 단독 행사탱글한 향미 가득한 제주 하우스밀감 1.8KG(박스),"11,990"
2,홈플러스,당도선별 실속플러스사과 3kg(봉),"9,990"
3,홈플러스,고당도 샤인머스캣 2-3입(박스)/샤인머스켓,"23,990"
4,홈플러스,소용량 매일매일 바나나 4입(봉)(440G),"1,990"
5,홈플러스,단감 1KG(봉),"4,990"
6,홈플러스,대추 방울토마토 750G(팩),"7,990"
7,홈플러스,알알이 터지는 달콤함 캠벨포도 2KG(박스),"17,990"
8,홈플러스,프리미엄 스텔라벨라 청포도 900G(팩),"10,990"
9,홈플러스,고당도 머루포도 2.7KG(박스),"18,990"
10,홈플러스,프리미엄 스윗사파이어(미국) 900G(팩),"10,990"
11,홈플러스,고당도 DOLE 스위티오(필리핀) 바나나 송이(1.1KG),"4,990"
12,홈플러스,소용량 고당도 감숙왕 바나나 3입(봉)(330G),"1,990"
13,홈플러스,제스프리 썬골드키위 7-14입(팩),"12,990"
14,홈플러스,고당도 스미후루 감숙왕 송이(1.1KG내외),"4,990"
15,홈플러스,프리미엄 캔디적포도(미국) 700G(팩),"9,990"
16,홈플러스,홈플러스시그니처 냉동 블루베리 1KG,"5,990"
17,홈플러스,"5개 구매시 6,500원양광사과(대) 개","1,500"
18,홈플러스,20% 농할 쿠폰대표산지 햇 사과 4-8입(봉),"5,990"
19,홈플러스,스윗탱고 토마토 400G(팩),"5,990"
20,홈플러스,스낵 토마토 800G(박스),"11,990"
21,홈플러스,큰송이 바나나(필리핀) 송이,"5,990"
22,홈플러스,고당도 레드키위 9-13입(팩),"12,990"
23,홈플러스,품격 있는 맛 프리미엄 고당도사과 4-6입(봉) ,"10,990"
24,홈플러스,달고 아삭한 사과대추 450G(팩),"7,990"
25,홈플러스,씨없는청포도(미국) 900G(팩),"9,990"
26,홈플러스,유기농 바나나(페루) 송이(1.1KG),"5,490"
27,홈플러스,대추 방울토마토 1.5KG(박스),"16,990"
28,홈플러스,아보카도(페루) 4-7입(900G내외)팩,"9,990"
29,홈플러스,완숙토마토 1.2KG(팩),"9,990"
30,홈플러스,유명산지 햇 신고배(개),"3,990"
 
지마켓/과일
1,지마켓,카라바오 망고 5kg 벌크 24과 (S사이즈 180g이상),"49,500"
2,지마켓,영주풍기사과 꿀맛사과 10kg 28 32과 가정용 흠집사과,"49,900"
3,지마켓,단감아빠 황현성의 창원단감 10kg 50과(중) 고당도단감,"36,540"
4,지마켓,청정 영주소백산사과 가정용햇부사10kg중대과(32~36과),"41,900"
5,지마켓,청도 반시 홍시 씨없는 감 5kg (41-50과),"12,900"
6,지마켓,아삭아삭 청송꿀사과 정품만골라서 10kg 38과-,"49,900"
7,지마켓,소양강 토마토 10kg 찰토마토 쥬스용 크기(혼합형),"22,680"
8,지마켓,우리존 빨강자몽 벌크대용량  45입(중/개당300g내외),"58,610"
9,지마켓,아삭아삭 사과 9kg가정용(42~56과)소과 기스과,"24,900"
10,지마켓,입안과즙가득  경북사과 5kg 25~30 꼬꼬마 가정용,"12,650"
11,지마켓,고당도 아삭아삭 청송사과 10kg가정용(30~38과),"34,110"
12,지마켓,아보카도 대과 24개(220g 내외/페루산),"35,190"
13,지마켓,포도 샤인머스켓 2kg 특상품 고당도 선물세트,"37,900"
14,지마켓,만나몰 레드 자몽 50과 8개입 (개당 320g 내외/남아공),"15,900"
15,지마켓,만나몰 레드 자몽 50과 1박스 (약 16kg/남아공),"69,900"
16,지마켓,영주풍기사과 꿀맛사과 10kg 34 42과 가정용 흠집사과,"48,600"
17,지마켓,카라바오 망고 소포장 6입 (S사이즈 180g이상)필리핀산,"21,900"
18,지마켓,카라바오 망고 소포장 6입(M사이즈 225g이상)필리핀산,"23,900"
19,지마켓,카라바오 망고 소포장 12입(M사이즈 225g이상)필리핀산,"38,900"
20,지마켓,카라바오 망고 소포장 12입(S사이즈 180g이상)필리핀산,"31,900"
21,지마켓,단감 전라도단감  제철과일 5kg 31-40과,"14,500"
22,지마켓,카라바오 망고 5kg 벌크 16과 (L사이즈 280g이상),"50,900"
23,지마켓,카라바오 망고 5kg 벌크 20과 (M사이즈 225g이상),"49,900"
24,지마켓,샤인머스켓 2kg 3-4수,"29,610"
25,지마켓,블랙사파이어 포도 1.6kg (3~4송이),"15,900"
26,지마켓,단감(차량부유) 5kg 35과내외,"19,900"
27,지마켓,태추 단감 2.5kg 11-14과,"30,600"
28,지마켓,네이블 오렌지 30과(중과),"22,900"
29,지마켓,단감(차량부유) 10kg 70과내외,"34,560"
30,지마켓,산지직송 청도반시 5kg (55과이상) 홍시용,"8,900"
 
카카오쇼핑/과일
1,카카오쇼핑, 21년 첫수확! 달콤새콤 상큼한 햇노지감귤 4.5kg로얄 소과 랜덤,err
2,카카오쇼핑, 아삭&달콤한 제철 햇 사과대추 1kg,err
3,카카오쇼핑, [자연맛남] 아삭아삭 햇 세척사과 2.5kg 3kg,err
4,카카오쇼핑, Dole 뉴질랜드 아보카도10과 1.2kg 내외 소과/중과/대과,err
5,카카오쇼핑, 첫수확 새콤달콤 햇 노지 감귤 4.5kg,err
6,카카오쇼핑, 제주직송 서귀포 노지감귤 실중량 4.5kg (대/소/로얄과),err
7,카카오쇼핑, [항공직송] 프리미엄 태국 생 골든 망고 1KG/2KG (L사이즈/특상급),err
8,카카오쇼핑, 영주 첫 수확 홍로 빨간 한입사과 4.5kg,err
9,카카오쇼핑, 햇 빨간 한입사과 가정용 5KG,err
10,카카오쇼핑, 경남 정품 단감 3kg(18-24과)/중소과,err
11,카카오쇼핑, 첫수확 제주 극조생 감귤 4.5kg 실중량 제철과일 선물 맛집,err
12,카카오쇼핑, 나주의 자연이 키운 추황배 3kg(8-10과),err
13,카카오쇼핑, [옴마품]달콤새콤 햇노지감귤 4.5kg로얄/소과,err
14,카카오쇼핑, 시원하고 달콤한 햇 나주배 가정용 신고배3kg(대과/4~6과),err
15,카카오쇼핑, 첫수확 새콤달콤 햇 노지 감귤 4.5kg,err
16,카카오쇼핑, 제주 하우스감귤 (비가림) 4.5kg,err
